scientific_name	genus	tribe	subfamily	family	superfamily	ITIS_id	hairy	spiny	leafroll	silktent	unpalatable	aposematic	social	aggregate 	iNat_taxon_link	notes
Bombycoidea	NA		NA	NA	Bombycoidea	117536										
Anisota	Anisota		Ceratocampinae	Saturniidae	Bombycoidea	936007										
Anisota peigleri	Anisota	NA	Ceratocampinae	Saturniidae	Bombycoidea	936148	N	Y	N	N		N	N	Y	https://www.inaturalist.org/taxa/48266-Anisota-peigleri	
Anisota senatoria	Anisota	NA	Ceratocampinae	Saturniidae	Bombycoidea	936186	N	Y	N	N		N	N	Y	https://www.inaturalist.org/taxa/81583-Anisota-senatoria	
Anisota stigma	Anisota	NA	Ceratocampinae	Saturniidae	Bombycoidea	936154	N	Y	N	N		N	N	Y	https://www.inaturalist.org/taxa/81585-Anisota-stigma	
Anisota virginiensis	Anisota	NA	Ceratocampinae	Saturniidae	Bombycoidea	936147	N	Y	N	N		Y	N	N	https://www.inaturalist.org/taxa/81584-Anisota-virginiensis	
Citheronia regalis	Citheronia	NA	Ceratocampinae	Saturniidae	Bombycoidea	936172	N	Y	N	N		Y	N	N	https://www.inaturalist.org/taxa/81586-Citheronia-regalis	
Dryocampa rubicunda	Dryocampa	NA	Ceratocampinae	Saturniidae	Bombycoidea	936177	N	Y	N	N		N	N	N	https://www.inaturalist.org/taxa/48094-Dryocampa-rubicunda	
Eacles imperialis	Eacles	NA	Ceratocampinae	Saturniidae	Bombycoidea	936166	Y	Y	N	N		N	N	N	https://www.inaturalist.org/taxa/81590-Eacles-imperialis	
Eacles imperialis pini	Eacles	NA	Ceratocampinae	Saturniidae	Bombycoidea	936251	Y	Y	N	N		N	N	N	https://www.inaturalist.org/taxa/235767-Eacles-imperialis-pini	
Automeris io	Automeris	Hemileucini	Hemileucinae	Saturniidae	Bombycoidea	936158	N	Y	N	N		Y	N	N	https://www.inaturalist.org/taxa/82279-Automeris-io	
Hemileuca grotei	Hemileuca	Hemileucini	Hemileucinae	Saturniidae	Bombycoidea	936187	N	Y	N	N		N	N	N	https://www.inaturalist.org/taxa/221171-Hemileuca-grotei	
Hemileuca maia	Hemileuca	Hemileucini	Hemileucinae	Saturniidae	Bombycoidea	936200	N	Y	N	N		N	Y	Y	https://www.inaturalist.org/taxa/122256-Hemileuca-maia	Check literature on social behavior
Hylesia	Hylesia		Hemileucinae	Saturniidae	Bombycoidea	935998										Hylesia lineata is the only species in this genus to form silktents
Saturniidae	NA		NA	Saturniidae	Bombycoidea	117551										
Actias luna	Actias	Saturniini	Saturniinae	Saturniidae	Bombycoidea	936178	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/47916-Actias-luna	Very small hairs/spines opted to go with no as far as hair/spines
Antheraea polyphemus	Antheraea	Saturniini	Saturniinae	Saturniidae	Bombycoidea	189057	N	Y	N	N		N	N	N	https://www.inaturalist.org/taxa/47919-Antheraea-polyphemus	
Callosamia promethea	Callosamia	Attacini	Saturniinae	Saturniidae	Bombycoidea	936189	N	N	N	N		N	Y	Y	https://www.inaturalist.org/taxa/81580-Callosamia-promethea	Not social until 3rd instar 
Eupackardia	Eupackardia		Saturniinae	Saturniidae	Bombycoidea	936009										
Eupackardia calleta	Eupackardia	Attacini	Saturniinae	Saturniidae	Bombycoidea	936180	N	Y	N	N		Y	N	N	https://www.inaturalist.org/taxa/192721-Eupackardia-calleta	
Hyalophora cecropia	Hyalophora	Attacini	Saturniinae	Saturniidae	Bombycoidea	936196	N	Y	N	N		Y	N	N	https://www.inaturalist.org/taxa/81582-Hyalophora-cecropia	
Darapsa myron	Darapsa	Macroglossini	Macroglossinae	Sphingidae	Bombycoidea	936039	N	Y	N	N		N	N	N	https://www.inaturalist.org/taxa/118503-Darapsa-myron	
